Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
522,Brandon McMillan,24,TOT,C,58,1,3,4,-19,16,1,0,0,0,3,0,0,51,2.0,607,10:28
523,Brayden McNabb,24,LAK,D,71,2,22,24,11,52,2,0,0,1,17,5,0,74,2.7,1129,15:54
524,Adam McQuaid,28,BOS,D,63,1,6,7,-2,85,1,0,0,0,6,0,0,60,1.7,1161,18:26
525,Jayson Megna,24,PIT,C,12,0,1,1,-2,14,0,0,0,0,1,0,0,13,0.0,132,11:02
526,Jonathon Merrill,22,NJD,D,66,2,12,14,-14,24,0,2,0,0,9,2,1,47,4.3,1357,20:33
527,Andrej Meszaros,29,BUF,D,60,7,7,14,-13,36,6,1,0,1,7,0,0,67,10.4,1074,17:54
528,Marc Methot,29,OTT,D,45,1,10,11,22,18,1,0,0,0,10,0,0,49,2.0,1020,22:40
529,Milan Michalek,30,OTT,LW,66,13,21,34,3,33,7,5,1,1,16,5,0,130,10.0,1080,16:22
530,Zbynek Michalek,32,TOT,D,68,4,8,12,-3,18,4,0,0,0,8,0,0,86,4.7,1412,20:46
531,Andrew Miller,26,EDM,C,9,1,5,6,-2,0,1,0,0,0,5,0,0,14,7.1,124,13:45
532,Drew Miller,30,DET,LW,82,5,8,13,-3,25,4,0,1,0,7,1,0,98,5.1,1102,13:26
533,J.T. Miller,21,NYR,C,58,10,13,23,5,23,8,2,0,3,12,1,0,92,10.9,737,12:42
534,Kevan Miller,27,BOS,D,41,2,5,7,20,15,2,0,0,1,5,0,0,37,5.4,739,18:02
535,John Mitchell,30,COL,C,68,11,15,26,-9,32,7,3,1,1,14,1,0,105,10.5,1078,15:51
536,Torrey Mitchell,30,TOT,C,65,6,8,14,-8,34,6,0,0,2,8,0,0,55,10.9,923,14:12
537,Willie Mitchell,37,FLA,D,66,3,5,8,1,25,3,0,0,0,4,0,1,78,3.8,1431,21:41
538,Travis Moen,32,TOT,LW,44,3,6,9,0,18,3,0,0,0,6,0,0,34,8.8,413,9:23
539,Sean Monahan,20,CGY,C,81,31,31,62,8,12,20,10,1,8,21,9,1,191,16.2,1589,19:37
540,Dominic Moore,34,NYR,C,82,10,17,27,5,28,8,0,2,3,16,1,0,116,8.6,1132,13:49
,,Scoring,,,Goals,Assists,,,Ice Time
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
541,John Moore,24,TOT,D,57,2,9,11,-4,30,2,0,0,0,5,4,0,77,2.6,929,16:18
542,Jeremy Morin,23,TOT,RW,43,2,4,6,1,28,2,0,0,0,4,0,0,73,2.7,439,10:12
543,Travis Morin,31,DAL,C,6,0,0,0,1,0,0,0,0,0,0,0,0,10,0.0,73,12:06
544,Brenden Morrow,36,TBL,LW,70,3,5,8,-1,64,3,0,0,0,5,0,0,28,10.7,653,9:20
545,Joseph Morrow,22,BOS,D,15,1,0,1,3,4,1,0,0,0,0,0,0,20,5.0,250,16:41
546,Dave Moss,33,ARI,RW,60,4,8,12,-18,24,3,1,0,0,6,1,1,96,4.2,775,12:55
547,Kael Mouillierat,27,NYI,LW,6,1,1,2,-3,8,1,0,0,0,1,0,0,1,100.0,52,8:41
548,Matt Moulson,31,BUF,LW,77,13,28,41,-11,4,10,3,0,2,20,8,0,156,8.3,1362,17:41
549,Chris Mueller,28,NYR,C,7,1,1,2,-1,0,0,1,0,0,1,0,0,10,10.0,73,10:27
550,Mirco Mueller,19,SJS,D,39,1,3,4,-8,10,1,0,0,0,3,0,0,31,3.2,661,16:58
551,Connor Murphy,21,ARI,D,73,4,3,7,-27,42,4,0,0,0,3,0,0,72,5.6,1226,16:48
552,Ryan Murphy,21,CAR,D,37,4,9,13,-11,8,1,3,0,1,7,2,0,61,6.6,677,18:17
553,Ryan Murray,21,CBJ,D,12,1,2,3,1,8,0,1,0,0,2,0,0,8,12.5,227,18:55
554,David Musil,21,EDM,D,4,0,2,2,-2,2,0,0,0,0,2,0,0,3,0.0,79,19:48
555,Jake Muzzin,25,LAK,D,76,10,31,41,-4,22,6,4,0,3,20,10,1,173,5.8,1725,22:42
556,Tyler Myers,24,TOT,D,71,7,21,28,-6,77,5,2,0,0,15,4,2,124,5.6,1749,24:38
